Date,CPI
1987,8.80112581251833
1988,9.38347186185335
1989,7.07428002942301
1990,8.9712325027325
1991,13.8702461773683
1992,11.7878170418134
1993,6.32689048779867
1994,10.2479355556119
1995,10.2248861637544
1996,8.97715233826453
1997,7.16425211462724
1998,13.2308389767977
1999,4.66982038037594
2000,4.0094359104519
2001,3.77929312235637
2002,4.29715203929563
2003,3.80585899528851
2004,3.76725173477515
2005,4.24634362031922
2006,5.79652337561634
2007,6.37288135593231
2008,8.34926704907581
2009,10.8823529411764
2010,11.9893899204244
2011,8.91179336483371
2012,9.47899691419801
2013,10.0178784746102
2014,6.66565671867899
2015,4.90697344127256
2016,4.94821634062141
2017,3.32817337461298
2018,3.9388264669163
2019,3.72950573539129
2020,6.62343677628535
2021,5.13140747176369
2022,6.69903414079852
2023,5.64914318907925
2024,4.95303550973656
