time_index,variable,volatility
0,log_oil_usd_ret,0.2375512291234381
1,log_oil_usd_ret,0.23950606591665685
2,log_oil_usd_ret,0.24144507608085783
3,log_oil_usd_ret,0.24336863790658966
4,log_oil_usd_ret,0.24527711485037954
5,log_oil_usd_ret,0.24717085633654973
6,log_oil_usd_ret,0.24905019850415822
7,log_oil_usd_ret,0.2509154649035761
8,log_oil_usd_ret,0.25276696714680635
9,log_oil_usd_ret,0.2546050055152331
10,log_oil_usd_ret,0.2564298695281597
11,log_oil_usd_ret,0.25824183847519444
12,log_oil_usd_ret,0.2600411819152236
13,log_oil_usd_ret,0.26182816014456034
14,log_oil_usd_ret,0.2636030246364844
15,log_oil_usd_ret,0.26536601845436036
16,log_oil_usd_ret,0.26711737664018975
17,log_oil_usd_ret,0.2688573265803902
18,log_oil_usd_ret,0.2705860883504041
19,log_oil_usd_ret,0.27230387503961423
20,log_oil_usd_ret,0.27401089305793447
21,log_oil_usd_ret,0.2757073424253051
22,log_oil_usd_ret,0.27739341704525433
23,log_oil_usd_ret,0.2790693049635867
24,log_oil_usd_ret,0.2807351886131775
25,log_oil_usd_ret,0.28239124504575824
26,log_oil_usd_ret,0.2840376461515553
27,log_oil_usd_ret,0.28567455886748766
28,log_oil_usd_ret,0.28730214537477955
29,log_oil_usd_ret,0.28892056328646554
30,log_oil_usd_ret,0.2905299658255336
31,log_oil_usd_ret,0.29213050199423785
32,log_oil_usd_ret,0.29372231673508414
33,log_oil_usd_ret,0.29530555108403084
34,log_oil_usd_ret,0.2968803423163292
0,log_gold_usd_ret,0.11210190197244853
1,log_gold_usd_ret,0.11284297343519742
2,log_gold_usd_ret,0.11355157970962707
3,log_gold_usd_ret,0.11422935910613213
4,log_gold_usd_ret,0.11487784684084319
5,log_gold_usd_ret,0.11549848351240712
6,log_gold_usd_ret,0.11609262268371283
7,log_gold_usd_ret,0.11666153768399241
8,log_gold_usd_ret,0.11720642772932963
9,log_gold_usd_ret,0.11772842344518462
10,log_gold_usd_ret,0.1182285918625298
11,log_gold_usd_ret,0.11870794094913983
12,log_gold_usd_ret,0.11916742372913154
13,log_gold_usd_ret,0.11960794203672222
14,log_gold_usd_ret,0.12003034994413693
15,log_gold_usd_ret,0.12043545689846165
16,log_gold_usd_ret,0.12082403059785853
17,log_gold_usd_ret,0.12119679963380799
18,log_gold_usd_ret,0.12155445592282026
19,log_gold_usd_ret,0.12189765694828107
20,log_gold_usd_ret,0.12222702783069576
21,log_gold_usd_ret,0.12254316324251455
22,log_gold_usd_ret,0.12284662918191175
23,log_gold_usd_ret,0.12313796461831487
24,log_gold_usd_ret,0.12341768302109957
25,log_gold_usd_ret,0.12368627378165933
26,log_gold_usd_ret,0.12394420353799679
27,log_gold_usd_ret,0.12419191741004934
28,log_gold_usd_ret,0.12442984015313749
29,log_gold_usd_ret,0.12465837723619483
30,log_gold_usd_ret,0.12487791585079266
31,log_gold_usd_ret,0.12508882585639816
32,log_gold_usd_ret,0.12529146066679464
33,log_gold_usd_ret,0.12548615808213698
34,log_gold_usd_ret,0.1256732410707088
0,log_usd_inr_ret,0.07488980434062145
1,log_usd_inr_ret,0.07360414970667642
2,log_usd_inr_ret,0.0723405662925223
3,log_usd_inr_ret,0.07109867519523895
4,log_usd_inr_ret,0.06987810401664674
5,log_usd_inr_ret,0.0686784867516378
6,log_usd_inr_ret,0.06749946367842435
7,log_usd_inr_ret,0.06634068125067114
8,log_usd_inr_ret,0.06520179199147971
9,log_usd_inr_ret,0.0640824543891927
10,log_usd_inr_ret,0.06298233279498677
11,log_usd_inr_ret,0.061901097322223764
12,log_usd_inr_ret,0.060838423747529576
13,log_usd_inr_ret,0.059793993413571334
14,log_usd_inr_ret,0.05876749313350362
15,log_usd_inr_ret,0.05775861509705505
16,log_usd_inr_ret,0.0567670567782271
17,log_usd_inr_ret,0.05579252084457753
18,log_usd_inr_ret,0.05483471506806119
19,log_usd_inr_ret,0.05389335223740131
20,log_usd_inr_ret,0.052968150071965356
21,log_usd_inr_ret,0.05205883113711918
22,log_usd_inr_ret,0.051165122761034486
23,log_usd_inr_ret,0.05028675695292438
24,log_usd_inr_ret,0.04942347032268268
25,log_usd_inr_ret,0.04857500400190272
26,log_usd_inr_ret,0.04774110356625209
27,log_usd_inr_ret,0.04692151895918001
28,log_usd_inr_ret,0.0461160044169344
29,log_usd_inr_ret,0.04532431839486625
30,log_usd_inr_ret,0.04454622349499913
31,log_usd_inr_ret,0.04378148639484207
32,log_usd_inr_ret,0.04302987777742468
33,log_usd_inr_ret,0.04229117226253323
34,log_usd_inr_ret,0.04156514833912733
0,inflation_india,0.3346332919660253
1,inflation_india,0.2846969771652641
2,inflation_india,0.31331427178150095
3,inflation_india,0.31047098080367014
4,inflation_india,0.36528054279006816
5,inflation_india,0.2916354020131331
6,inflation_india,0.42040166733063794
7,inflation_india,0.3809820132988209
8,inflation_india,0.2817846633152052
9,inflation_india,0.28775494724060124
10,inflation_india,0.30164243924897977
11,inflation_india,0.4293588239219588
12,inflation_india,0.5983050461312981
13,inflation_india,0.29031939196356255
14,inflation_india,0.28256717922255864
15,inflation_india,0.29134328262338316
16,inflation_india,0.2868711977820198
17,inflation_india,0.28171141036335245
18,inflation_india,0.29023225818659465
19,inflation_india,0.32821681500041017
20,inflation_india,0.2874137667362934
21,inflation_india,0.31788309598965786
22,inflation_india,0.3165736903057627
23,inflation_india,0.2845230539174348
24,inflation_india,0.2840777894689446
25,inflation_india,0.3463249334763803
26,inflation_india,0.31887450470962725
27,inflation_india,0.2819752457624613
28,inflation_india,0.3431208492891842
29,inflation_india,0.2972728865924539
30,inflation_india,0.28239456803700635
31,inflation_india,0.4143763931873103
32,inflation_india,0.3074322332782236
33,inflation_india,0.3170431189397017
34,inflation_india,0.2926976498285256
0,inflation_usa,0.6415680154517591
1,inflation_usa,0.597745696624112
2,inflation_usa,0.6021000901066574
3,inflation_usa,0.598043650983966
4,inflation_usa,0.5997868940274773
5,inflation_usa,0.6078566387729034
6,inflation_usa,0.5931541384184381
7,inflation_usa,0.5939900100000066
8,inflation_usa,0.5959630410291323
9,inflation_usa,0.5947505669553526
10,inflation_usa,0.5986779096383172
