Time,Pair,Correlation
0,oil_usd_ret-gold_usd_ret,0.13957587565383323
0,oil_usd_ret-usd_inr_ret,-0.1325657532730411
0,oil_usd_ret-oil_inr_ret,0.973750720735231
0,oil_usd_ret-gold_inr_ret,0.08039303997736337
0,gold_usd_ret-usd_inr_ret,-0.20846874302532284
0,gold_usd_ret-oil_inr_ret,0.10194629533455668
0,gold_usd_ret-gold_inr_ret,0.8684718868993672
0,usd_inr_ret-oil_inr_ret,0.07528476120047164
0,usd_inr_ret-gold_inr_ret,0.2735538738327439
0,oil_inr_ret-gold_inr_ret,0.15191782230029177
1,oil_usd_ret-gold_usd_ret,0.13806916466403285
1,oil_usd_ret-usd_inr_ret,-0.11514812285750733
1,oil_usd_ret-oil_inr_ret,0.9740064759083887
1,oil_usd_ret-gold_inr_ret,0.0851399123478585
1,gold_usd_ret-usd_inr_ret,-0.2064471406653064
1,gold_usd_ret-oil_inr_ret,0.10049824189910331
1,gold_usd_ret-gold_inr_ret,0.8672008759356741
1,usd_inr_ret-oil_inr_ret,0.09168098657670824
1,usd_inr_ret-gold_inr_ret,0.2779846480437947
1,oil_inr_ret-gold_inr_ret,0.15673786902807932
2,oil_usd_ret-gold_usd_ret,0.1214872490860634
2,oil_usd_ret-usd_inr_ret,-0.12097134569222552
2,oil_usd_ret-oil_inr_ret,0.9743208130593015
2,oil_usd_ret-gold_inr_ret,0.06911071494361995
2,gold_usd_ret-usd_inr_ret,-0.1984277540114235
2,gold_usd_ret-oil_inr_ret,0.08582859049795775
2,gold_usd_ret-gold_inr_ret,0.8691973910730633
2,usd_inr_ret-oil_inr_ret,0.08462364434670692
2,usd_inr_ret-gold_inr_ret,0.28171952107860654
2,oil_inr_ret-gold_inr_ret,0.14102638107864848
3,oil_usd_ret-gold_usd_ret,0.12565517730032622
3,oil_usd_ret-usd_inr_ret,-0.10925195156728572
3,oil_usd_ret-oil_inr_ret,0.9742936419610775
3,oil_usd_ret-gold_inr_ret,0.07844081506472332
3,gold_usd_ret-usd_inr_ret,-0.19289038916166706
3,gold_usd_ret-oil_inr_ret,0.09075866257430368
3,gold_usd_ret-gold_inr_ret,0.867943854512462
3,usd_inr_ret-oil_inr_ret,0.09675459004576775
3,usd_inr_ret-gold_inr_ret,0.28979610944631556
3,oil_inr_ret-gold_inr_ret,0.15171426283730577
4,oil_usd_ret-gold_usd_ret,0.1289311386896367
4,oil_usd_ret-usd_inr_ret,-0.11010752250651798
4,oil_usd_ret-oil_inr_ret,0.9743001147052588
4,oil_usd_ret-gold_inr_ret,0.08034361843205183
4,gold_usd_ret-usd_inr_ret,-0.19140446665279684
4,gold_usd_ret-oil_inr_ret,0.09391467207402661
4,gold_usd_ret-gold_inr_ret,0.8681656970112459
4,usd_inr_ret-oil_inr_ret,0.0956680856498352
4,usd_inr_ret-gold_inr_ret,0.2904318743516105
4,oil_inr_ret-gold_inr_ret,0.15339986305327089
5,oil_usd_ret-gold_usd_ret,0.1270828861990187
5,oil_usd_ret-usd_inr_ret,-0.0935727270399662
5,oil_usd_ret-oil_inr_ret,0.9747766944081205
5,oil_usd_ret-gold_inr_ret,0.08686656153479697
5,gold_usd_ret-usd_inr_ret,-0.1914010606503279
5,gold_usd_ret-oil_inr_ret,0.0919742799837993
5,gold_usd_ret-gold_inr_ret,0.8666911777887298
5,usd_inr_ret-oil_inr_ret,0.11045519560220612
5,usd_inr_ret-gold_inr_ret,0.2934350106167927
5,oil_inr_ret-gold_inr_ret,0.15942640561392635
6,oil_usd_ret-gold_usd_ret,0.09751302282787326
6,oil_usd_ret-usd_inr_ret,-0.08826225059264464
6,oil_usd_ret-oil_inr_ret,0.9749941165439711
6,oil_usd_ret-gold_inr_ret,0.06658742636269835
6,gold_usd_ret-usd_inr_ret,-0.20255325676688982
6,gold_usd_ret-oil_inr_ret,0.06123690905365705
6,gold_usd_ret-gold_inr_ret,0.8695633947186411
6,usd_inr_ret-oil_inr_ret,0.11484517296408711
6,usd_inr_ret-gold_inr_ret,0.2765552993865672
6,oil_inr_ret-gold_inr_ret,0.13605788124880935
7,oil_usd_ret-gold_usd_ret,0.10843029024845155
7,oil_usd_ret-usd_inr_ret,-0.09702601811753898
7,oil_usd_ret-oil_inr_ret,0.9749097939478477
7,oil_usd_ret-gold_inr_ret,0.07374439538795888
7,gold_usd_ret-usd_inr_ret,-0.21225717139284997
7,gold_usd_ret-oil_inr_ret,0.07105684571840873
7,gold_usd_ret-gold_inr_ret,0.8709578453139549
7,usd_inr_ret-oil_inr_ret,0.10633554035219979
7,usd_inr_ret-gold_inr_ret,0.264501604188883
7,oil_inr_ret-gold_inr_ret,0.1418488683926394
8,oil_usd_ret-gold_usd_ret,0.17715521235277387
8,oil_usd_ret-usd_inr_ret,-0.09858592910702538
